pos,,,,trials.thisN,key_resp.corr,key_resp.rt,,,seqRT,ranRT
-50,,,,0,1,1.880055243,,,1.880055243,0.918124641
150,,,,1,1,1.33575757,,,1.33575757,0.918228111
50,,,,2,1,1.25460376,,,1.25460376,0.752759987
-150,,,,3,1,0.783069024,,,0.783069024,0.703654799
-50,,,,4,1,1.052866907,,,1.052866907,0.737651057
150,,,,5,1,1.550119587,,,1.550119587,0.767619867
50,,,,6,1,1.083178575,,,1.083178575,0.902026148
-150,,,,7,1,0.817004371,,,0.817004371,0.866731751
-50,,,,8,1,0.651435426,,,0.651435426,0.799876902
150,,,,9,1,1.049534735,,,1.049534735,0.721491742
50,,,,10,1,1.453837663,,,1.453837663,0.8664569
-150,,,,11,1,0.799782816,,,0.799782816,0.772081055
-50,,,,12,1,0.41859461,,,0.41859461,0.86800258
150,,,,13,1,1.034039672,,,1.034039672,0.681689598
50,,,,14,1,0.968019253,,,0.968019253,0.651579062
-150,,,,15,1,0.782604964,,,0.782604964,0.702667281
-50,,,,16,1,1.01974,,,1.01974,0.699819266
150,,,,17,1,0.851117539,,,0.851117539,0.81688624
50,,,,18,1,1.250192256,,,1.250192256,0.88329398
-150,,,,19,1,0.749833596,,,0.749833596,0.766423366
-50,,,,20,1,0.916798892,,,0.916798892,0.553259842
150,,,,21,1,0.936763548,,,0.936763548,0.521282834
50,,,,22,1,1.320204398,,,1.320204398,0.63319838
-150,,,,23,1,0.836056923,,,0.836056923,0.971495243
-50,,,,24,1,1.667314844,,,1.667314844,0.82207904
150,,,,25,1,1.018260296,,,1.018260296,0.534902461
50,,,,26,1,1.100475095,,,1.100475095,0.800629541
-150,,,,27,1,1.186094266,,,1.186094266,0.783054553
-50,,,,28,1,0.60055192,,,0.60055192,0.502714432
150,,,,29,1,0.58543995,,,0.58543995,0.67114374
50,,,,30,1,1.652350475,,,1.652350475,0.735455062
-150,,,,31,1,0.716213483,,,0.716213483,1.133232378
-50,,,,32,1,0.601577144,,,0.601577144,0.433315593
150,,,,33,1,0.553707697,,,0.553707697,0.752338755
50,,,,34,1,1.200526537,,,1.200526537,0.61848152
-150,,,,35,1,0.737152152,,,0.737152152,1.1165606
-50,,,,36,1,0.766955432,,,0.766955432,0.866992573
150,,,,37,1,0.787930162,,,0.787930162,1.070403631
50,,,,38,1,0.982889371,,,0.982889371,0.602364094
-150,,,,39,1,0.603068888,,,0.603068888,0.91653443
-50,,,,40,1,0.767009354,,,0.767009354,0.900137167
150,,,,41,1,0.951364664,,,0.951364664,0.516614455
50,,,,42,1,1.26751193,,,1.26751193,0.8684393
-150,,,,43,1,1.283552939,,,1.283552939,0.703683843
-50,,,,44,1,0.651351818,,,0.651351818,0.78312026
150,,,,45,1,0.835814973,,,0.835814973,1.535057129
50,,,,46,1,1.268045873,,,1.268045873,1.049889297
-150,,,,47,1,0.719455019,,,0.719455019,0.6349691
-50,,,,48,1,0.749052371,,,0.749052371,0.68747762
150,,,,49,1,0.650019667,,,0.650019667,1.300130607
50,,,,50,1,1.099807235,,,1.099807235,1.317551159
-150,,,,51,1,0.749834536,,,0.749834536,0.949448796
-50,,,,52,1,1.099721894,,,1.099721894,0.716057094
150,,,,53,1,0.750400731,,,0.750400731,0.899824318
50,,,,54,1,0.968808758,,,0.968808758,0.950216258
-150,,,,55,1,0.549884714,,,0.549884714,0.635246683
-50,,,,56,1,0.735527861,,,0.735527861,0.866285942
150,,,,57,1,0.865753069,,,0.865753069,0.53482654
50,,,,58,1,1.133396345,,,1.133396345,0.933926659
-150,,,,59,1,0.620264122,,,0.620264122,2.334347919
-50,,,,60,1,0.718438728,,,0.718438728,0.833093361
150,,,,61,1,0.800322706,,,0.800322706,0.75062051
50,,,,62,1,0.866299041,,,0.866299041,0.916232996
-150,,,,63,1,0.598768196,,,0.598768196,0.853863231
-50,,,,64,1,0.717182032,,,0.717182032,0.783021373
150,,,,65,1,1.154065946,,,1.154065946,0.670110615
50,,,,66,1,1.033429185,,,1.033429185,0.782009961
-150,,,,67,1,0.86685998,,,0.86685998,0.733748683
-50,,,,68,1,0.86603525,,,0.86603525,0.820158152
150,,,,69,1,1.284896624,,,1.284896624,0.799827378
50,,,,70,1,1.071747407,,,1.071747407,0.933136206
-150,,,,71,1,0.78718223,,,0.78718223,0.749031831
-50,,,,72,1,0.66666644,,,0.66666644,0.699371293
150,,,,73,1,0.93365226,,,0.93365226,0.716112409
50,,,,74,1,0.999873967,,,0.999873967,0.816546076
-150,,,,75,1,0.580931524,,,0.580931524,0.751241102
-50,,,,76,1,1.366727804,,,1.366727804,0.565241914
150,,,,77,1,1.354852545,,,1.354852545,0.787780933
50,,,,78,1,1.052015134,,,1.052015134,0.453068302
-150,,,,79,1,0.886745478,,,0.886745478,0.368339542
-50,,,,80,1,0.799319265,,,0.799319265,0.736087858
150,,,,81,1,1.066397575,,,1.066397575,0.400532346
50,,,,82,1,0.98590297,,,0.98590297,0.433014594
-150,,,,83,1,0.699738781,,,0.699738781,0.603944826
-50,,,,84,1,0.750203719,,,0.750203719,0.750163752
150,,,,85,1,1.000097101,,,1.000097101,0.782763976
50,,,,86,1,0.948335358,,,0.948335358,0.966714112
-150,,,,87,1,0.652289534,,,0.652289534,0.785838184
-50,,,,88,1,0.584174073,,,0.584174073,0.899929279
150,,,,89,1,1.336761313,,,1.336761313,0.569651732
50,,,,90,1,0.948928612,,,0.948928612,0.716930101
-150,,,,91,1,0.585575626,,,0.585575626,0.736944562
-50,,,,92,1,0.685000483,,,0.685000483,0.766730094
150,,,,93,1,0.920285432,,,0.920285432,0.749933101
50,,,,94,1,0.93324278,,,0.93324278,0.635377083
-150,,,,95,1,0.799522664,,,0.799522664,0.388426915
150,,,,,1,0.918124641,,,,
50,,,,,1,0.918228111,,,0.933070465,0.78811762
150,,,,,1,0.752759987,,,differnce,-0.144952845
150,,,,,1,0.703654799,,,,
-50,,,,,1,0.737651057,,,,
-150,,,,,1,0.767619867,,,,
50,,,,,1,0.902026148,,,,
150,,,,,1,0.866731751,,,,
-50,,,,,1,0.799876902,,,,
150,,,,,1,0.721491742,,,,
-150,,,,,1,0.8664569,,,,
50,,,,,1,0.772081055,,,,
-50,,,,,1,0.86800258,,,,
-50,,,,,1,0.681689598,,,,
50,,,,,1,0.651579062,,,,
150,,,,,1,0.702667281,,,,
50,,,,,1,0.699819266,,,,
-50,,,,,1,0.81688624,,,,
150,,,,,1,0.88329398,,,,
-150,,,,,1,0.766423366,,,,
-150,,,,,1,0.553259842,,,,
-150,,,,,1,0.521282834,,,,
50,,,,,1,0.63319838,,,,
150,,,,,1,0.971495243,,,,
150,,,,,1,0.82207904,,,,
-150,,,,,1,0.534902461,,,,
-50,,,,,1,0.800629541,,,,
150,,,,,1,0.783054553,,,,
-150,,,,,1,0.502714432,,,,
-50,,,,,1,0.67114374,,,,
50,,,,,1,0.735455062,,,,
150,,,,,1,1.133232378,,,,
-150,,,,,1,0.433315593,,,,
-50,,,,,1,0.752338755,,,,
150,,,,,1,0.61848152,,,,
50,,,,,1,1.1165606,,,,
50,,,,,1,0.866992573,,,,
50,,,,,1,1.070403631,,,,
-150,,,,,1,0.602364094,,,,
150,,,,,1,0.91653443,,,,
-50,,,,,1,0.900137167,,,,
-150,,,,,1,0.516614455,,,,
50,,,,,1,0.8684393,,,,
150,,,,,1,0.703683843,,,,
-50,,,,,1,0.78312026,,,,
-50,,,,,1,1.535057129,,,,
-50,,,,,1,1.049889297,,,,
-150,,,,,1,0.6349691,,,,
150,,,,,1,0.68747762,,,,
50,,,,,1,1.300130607,,,,
50,,,,,1,1.317551159,,,,
150,,,,,1,0.949448796,,,,
-150,,,,,1,0.716057094,,,,
-50,,,,,1,0.899824318,,,,
-50,,,,,1,0.950216258,,,,
-150,,,,,1,0.635246683,,,,
50,,,,,1,0.866285942,,,,
-150,,,,,0,0.53482654,,,,
50,,,,,1,0.933926659,,,,
50,,,,,1,2.334347919,,,,
50,,,,,1,0.833093361,,,,
-150,,,,,1,0.75062051,,,,
150,,,,,1,0.916232996,,,,
50,,,,,1,0.853863231,,,,
150,,,,,1,0.783021373,,,,
150,,,,,1,0.670110615,,,,
-50,,,,,1,0.782009961,,,,
-150,,,,,1,0.733748683,,,,
50,,,,,1,0.820158152,,,,
-50,,,,,1,0.799827378,,,,
150,,,,,1,0.933136206,,,,
150,,,,,1,0.749031831,,,,
150,,,,,1,0.699371293,,,,
50,,,,,1,0.716112409,,,,
-50,,,,,1,0.816546076,,,,
50,,,,,1,0.751241102,,,,
-150,,,,,1,0.565241914,,,,
-50,,,,,1,0.787780933,,,,
-150,,,,,1,0.453068302,,,,
-150,,,,,1,0.368339542,,,,
50,,,,,1,0.736087858,,,,
-150,,,,,1,0.400532346,,,,
-150,,,,,1,0.433014594,,,,
-50,,,,,1,0.603944826,,,,
-50,,,,,1,0.750163752,,,,
150,,,,,1,0.782763976,,,,
-50,,,,,1,0.966714112,,,,
50,,,,,1,0.785838184,,,,
50,,,,,1,0.899929279,,,,
-150,,,,,1,0.569651732,,,,
-50,,,,,1,0.716930101,,,,
-50,,,,,1,0.736944562,,,,
-50,,,,,1,0.766730094,,,,
150,,,,,1,0.749933101,,,,
-150,,,,,1,0.635377083,,,,
-150,,,,,1,0.388426915,,,,